Job_Id,Title,Location,Department,Salary_range,Company_profile,Description,Requirements,Benefits,Telecommuting,Has_company_logo,Has_questions,Employment_type,Required_education,Industry,Function,Fraudulent
1,"High Ticket Sales
",,,"120,000-240,000",Get the Free Training where I'll show you how to get your own Modern Day Money Printer!,"Are you ready to embark on a lucrative journey where you can earn $10k-$20k per month or more, all from the comfort of your home? Look no further! We are offering an exceptional opportunity for individuals seeking financial freedom without the need for prior experience. Position Highlights: Compensation: Earn $10k-$20k per month or more, with the potential for even higher earnings. Work Environment: Fully remote, allowing you to work from anywhere in the world. Training: Free training platform upon joining. Plus benefit from free weekly training sessions conducted by successful multi-6 figure income earners in the industry, along with 1:1 coaching mentoring in your first month, with continued coaching as needed. Passive Income: Unlock the potential to earn passive income through our innovative model. Not MLM: Rest assured, this opportunity is NOT a multi-level marketing business, but has a patented 8-point compensation plan. Hybrid Model: Experience the best of both worlds with a hybrid approach, combining direct sales and affiliate marketing. Qualities Desired: We are seeking individuals who are coachable, hard-working, and possess a positive attitude. Compensation Structure: Not MLM: Rest assured, this opportunity is NOT a multi-level marketing business, but has a patented 8-point compensation plan. Hybrid Model: Experience the best of both worlds with a hybrid approach, combining direct sales and affiliate marketing.",,,1,0,0,,,,Sales,1
2,Entrepreneur,,Sales,"150,000-1,000,000","I'm Siena Songbird, nice to meet you! I am a spiritual warrior dedicated and inspired to uplift other conscious people, together creating vast waves of abundance that we leverage to make a bigger positive impact on this planet. I am so excited to build a team of epic people learning, growing and changing the world together... if it resonates, you're invited! 🙌
","High Ticket Affiliate Marketing Position – Water is Life 💦 You want more for your life... and you want to make a bigger impact. Get out of the grind and build a life where you can be free!
Help distribute a life-changing product that creates medicine water and build a business with uncapped earning potential.This model and business is proven to work for thousands of people. This industry has created the most female millionaires of any industry. (I am being mentored directly by one said self-made millionaire mama). The company we are partnered with is a 50 year-old 8 billion dollar company and growing exponentially.",,,1,0,0,,,Water,Sales,1
3,Independent Associate,,,"500,000-25,000,000","Assisting entrepreneurs qualify from $25K - $250K. Zero Interest Business Funding for any purpose within 30 - 120 days. *No payments for 12 - 24 months *No documentation
*Credit issues assistance *Then $500K - $25M three to six months later.
","Make prospective clients a deal they can't refuse WITH NO UPFRONT FEES! 1099 position as a referral agent bringing clients to us. Commissions of $1,250 - $12,500+ PER CLIENT.
",,,1,0,0,Full time,,Finance,,1
4,Work from Home,,,"520,000","Welcome. Our company is called, Licensing Experts, Inc. We are offering you the rare and very lucrative opportunity to learn and work from home, with the security and excellent compensation you deserve. Our company is an accredited business with an “A+ Rating” from the Better Business Bureau. You’ll get to work with millionaire commercial real estate Investors, Sellers, Buyers and Brokers while participating in flipping commercial real estate without using your cash for a down payment. You’ll be able to earn large fees within days of working with us. There is NO TRAVEL REQUIRED, NO EXPERIENCE, NO LICENSED REQUIRED AND NO COLD CALLING, yet the RARE opportunity to earn 5 Figures per month, consistently and securely from the comfort of your home. https://licensing-experts.com/ Licensing Experts, Inc. has the tools, resources, and track record to share their knowledge, skills, and training with you. https://licensing-experts.com/
","Licensing Experts, Inc. would provide you all the direct education, tools, resources and direct support, PLUS all the FREE constant high-quality sources of leads you can handle. The best part is that there is absolutely ""No Selling"", because we put you in the direct path where tons of Sellers are already looking to sell their commercial real estate properties and we show you how to get Brokers and Sellers to call you without placing Ads. Learn More, click here: https://licensing-experts.com/ QUICK FACTS: *You can earn a high income, without ""guesswork"", or trying to figure it out. *Work from home *Work when you want and where you want. You are truly independent, with big support backing you. *No previous experience required. Anybody sincere can do it! *No royalties. You'll have the support of a mastermind, yet you are independent *Because of the pandemic, we've never seen an opportunity like this. *A one-of-a-kind opportunity with seemingly endless clientele.
This special opportunity is extremely limited, therefore, please visit us now at: https://licensing-experts.com/ To start your new profitable career and receive FREE training today. Please go to: https://licensing experts.com/
",,,1,0,0,,,Licensing,,1
5,don't leave home,,,"100,000-200,000",Mom and Pop Business Funding,"Take your time- ...your life is about to change for the better financially. You found us. ""NO"" Experience Preferred. Throughout American history there has only been a handful of career opportunities where you ""do not need prior experience or a college degree"" to make $1 Million Dollars a year. The average person makes a little over $300,000.00 their first year. The above average person makes a little over $750,000.00 their first year. You get paid quickly! WE WILL GET BACK TO YOU! This is the most Lucrative opportunity in America today! Our company is Celebrating 14 years! Our Website. https://www.mpbfunding.com/work-from-home Be in charge of your destiny - this is a ""1099 position"", ""NOT"" a W-2 position. We are ""NOT"" your ordinary company. ...and this is ""NOT"" your ordinary opportunity. ""WE WILL GET BACK TO YOU"" At a minimum, -you should expect to make a low to medium ""6-figure"" income your first year. Our CEO trains you via a group conference call for 4 Business Days, 1.5 hours a day. Nobody fails. No games. No BS. Training is over the phone 1.5 hours daily for 4 days. You get paid quickly! We are a small business loan alternative company / merchant cash advance company in all 50 states that loans unsecured working capital up to $1,000,000.00 to business owners. What business does not need money? This is the opportunity of a life time. OUR WEBSITE - https://www.mpbfunding.com/work-from-home LEARN about us!!! ...and what we do! ...rise up! We are a ""small business loan company that loans up to $1,000,000.00 in 1 to 2 days. Again, ...you get paid Quickly! The most ""trusted name brand"" in the merchant cash advance business loan alternative industry. You are in charge of your own destiny, ...this is a ""1099 position"", ""NOT"" a W-2 position. We are a small business loan company that loans up to $1,000,000.00. And we close these loans quickly. ""YOU"" get paid quickly. We are one of the largest and oldest companies in the Small Business Loan industry. ...and we are looking for motivated ""Money Hungry"", ""Success Oriented"", driven individuals. Our DNA can be traced back to the inception of this industry. What business owner does not need money? Banks have all but stopped loaning working capital to business owners. Help business owners stimulate the economy, and in return, stimulate your bank account. This is a ""Win-Win"" We have a very high approval rate - 94% of the business loan applications submitted are approved. And, our loans close quickly - over 95% are funded within 2 days or less. ...which means you get paid fast! You get paid on the renewals on the file ongoing. Work from home. Work inside or outside. Work part-time or full-time. Make a little or a lot! You'll be your own boss, so you get to decide! Take this as far as you want to go! The Income Potential is Unlimited! This industry is growing quickly, and, financially speaking, there is nothing else like this on earth. If you have suffered financially due to the economy the last 5 to 9 years, we are your gateway into this industry and a better life financially speaking! Whether you want your old life back financially- ...or are looking for a new career, this is the ""short line"" to your financial success! No Experience Necessary - however, some sales experience is helpful. Grey hair is OK… If you have been told NO elsewhere because of your age, this may be the place for you. NO RESUMES WANTED TO LEARN MORE- https://www.mpbfunding.com/work-from-home",,,1,0,0,Employee's choice,,Loans,Sales,1
6,Truck Driver - Class A,Denver,,"78,000","Check out the most exciting thing happening in the Bulk Transportation Industry! The new, Improved, US Transport is looking for the best Drivers in our area. If you want to be part of a revolution and participate in creating the best organization in the industry, this is a place you can call home. New leadership, a clear vision, and a desire to be the very “Best in Class” will allow us to achieve our goal of being a true Driver’s company. Give us a call today to discuss your position in this exciting future. We are hiring local Drivers for routes based out of our Denver, CO Terminal. This position is responsible for hauling loads of dry bulk materials to customers safely and efficiently. We operate primarily in the Colorado Region (Trinidad to Fort Collins) . No pneumatic experience is necessary and all training will be provided. *No endorsements needed*","$1,400 or more weekly Attendance Based Weekly Guarantee Pay $900 (Safety net for weather, equipment breakdowns, customer issues) Monthly KPI Bonus ($250-$800 +) Sign On Bonus ($2500)  Bi-Annual Safety Bonus ($1000)   Referral Bonus ($2000) Paid Orientation, Training, Breakdown Time, Waiting Time ($28hr) No Slip Seating",Have an active Class A CDL Minimum of 18 months of tractor-trailer experience Must be at least 23 years old or older,"Paid weekly direct deposit Medical, dental, vision (CIGNA) 7 paid holidays Paid vacation 401K company match Paid orientation and training Company-paid life insurance ($25,000) Health savings account",0,1,0,Full time,,Transport,Driver,0
7,Sheet Metal Roofing - Foreman,Denver,,"62,400",,Architectural Sheet Metal Roofing - Experienced Installers for our Metal Division,"Foreman Experience installing custom sheet metal, fascia, siding, metal roofing and flashing (not HVAC). Clean Driver's License preferred, but not required Metro Area only ",Earned Paid Time Off 6 paid holidays 1 week paid vacation after a year Health benefits and retirement plan,0,0,0,Full time,,Roofing,Roofer,0
8,Window Cleaner,Denver,,"47,840 - 52,000",,"We are looking for experienced window cleaners in Denver to join LUDEGA Window! If you have your own equipment and a passion for spotless windows, we want to collaborate with you. If you are Window Cleaning Contractor or an individual who has window cleaning experience, we welcome you to apply:","Proven experience as a window cleaning. Owns window cleaning equipment and tools is a plus. A valid driver's license and reliable transportation. Teachable attitude and a willingness to learn new techniques and procedures Comfortable working at various heights and in various weather conditions. Eagerness to learn, adapt, and grow within LUDEGA’s diverse range of services. Ability to follow instructions and work efficiently both independently and as part of a diverse team.",,0,1,0,Full time,,Window Cleaning,Window Cleaner,0
9,Skilled Painter/ Touch up Painters,Denver,,"37,000 - 45,000","We are a local construction company that takes pride in our work and we are seeking an individuals that takes pride in theirs as well. We have a few commercial painting contracts and a lot of production painting contracts. For our painting contracts we work with a lot of well known companies such as; Richmond American Homes, DR Horton, KB homes, and Lennar Homes. These projects are year round.",We are seeking individuals that can complete tasks given in a timely and efficient manner while providing a great experience for our clients and is able to represent our company in a professional manner. We are looking for individuals for touch ups and hourly painters.,Must have a valid driver's license Must have 2-3 years experience in painting Must be detailed oriented and be able to keep work areas clean Must be able to demonstrate the ability to work well with others,,0,1,0,Full time,,Painting,Painter,0
10,Lucy Server,Denver,,,,Lucy Restaurant (located above Comedy Works South at Belleview and I-25) is looking for experienced wait staff. SUPER part time. SUPER fast paced. Good money. Get your work out in while you work out (lots of stairs). Ideal position for someone (after training) that wants to pick up a night a week or work all weekend.,"Good sense of humor! (okay working in an R-rated environment) Must have at least one year serving experience in a full-service restaurant Weekend availability Ability to multi-task Must have reliable transportation Great customer service and communication skills Professional demeanor This is a physically demanding job (lots of stair climbing) Sense of urgency ALL employees are eligible to participate in health, dental and vision insurance",401K paid vacation,0,1,0,part time,,Restaraunt,Server,0
11,Farmers Market Staff,Denver/Dillon,,,,"I am looking for staff for my farmers market bakery business. I am paying $ 20 an hour plus tips. You also will get paid for drive time. It is best that you have experience as a waiter, barista or bartender. Selling is an important part of the job. The job entails driving to the bakery and picking up market equipment (tables and tents) along with product. You must have a car that is big enough to carry everything. You will return to the bakery afterwards. You must be an early riser. I also need someone to wrap and pack product for about 8 hours a week and to prepare food for Friday market in Dillon I am also looking for someone to cook sell brats and schnitzels at the Dillon Farmers Market as well I have work on Thursday, Friday, Saturday and Sunday Please text as much information about yourself","Has worked as waiter, barista, or bartender",,0,0,0,part time,,,Farmers Market Staff,0
12,Gardener/Landscaper,,,,,"Lane Gardens has an immediate opening for a part time gardener / landscaper. Spring clean outs, planting and garden maintenance are just a few of the job requirements. Must be able to work outside for extended periods of time. Must have valid drivers license, pass background check and drug screen. 20-28 hours per week. Pay depends on experience. Please respond with resume.","Must be able to work outside for extended periods of time. Must have valid drivers license, pass background check and drug screen.",,0,1,0,part time,,Gardening,Gardener,0
13,Apprentice Electrician,Denver,,"41,600-62,400",We are a great company looking for skilled electricians that want to utilize their skills and improve upon their efficiencies.,We are looking for a few apprentice electricians to join our team. We have a great working environment and help our field and team leaders become successful on their projects. Candidates are encouraged to apply ASAP as we have an immediate need in the Denver Metro area. Qualified candidates need to send an updated resume for consideration. Interviews are currently underway.,Great attitude and appearance Pipe Bending Skills are a plus Commercial/Residential experience Valid driver's license and good driving record Background checks may be required for individual projects Night time work may be required at times Past employment and personal references,"Great pay Health, dental and vision Insurance Vacation Time Holiday Pay 401K Paid Weekly",0,0,0,full time,,Electrician,Electrician,0
14,Independent contractor/interpreter,,,,JNJ Services,We are currently looking for (enter language we’re searching for) interpreters in your area to provide in person interpretation for patients at their appointments. Most appointments are scheduled and assigned at least 24 hours in advance. Please see the below requirements and send us a message for more information.," Must be fluent in both languages Must have a Smartphone Must have great customer service skills You must be reliable and responsible! If you meet the above requirements please send us a message with your name, phone number and email address and THE CITY YOU CURRENTLY",,0,0,0,part time,,,interpreter/driver,0
15,Front office receptionist,Denver,,"52,000-66,000",,"We are looking for a full-time front office staff member Tuesday- Friday and some Saturdays. Tasks mostly include greeting patients, patient communication, verifying insurance and organizing the schedule. Some dental experience is helpful but not necessary. Please submit your resume if interested and reach out with any questions. Thank you!",,,0,0,0,full time,,Dentistry,Receptionist,0
16,Diesel Mechanic,,,"62,000",re you looking for an opportunity to be part of a family instead of just an employee? Are you looking for a company with opportunity to grow? Here at DSG Oilfield services that is what we are. We offer competitive wages for our Drivers and employees as well as lease options.,We are currently seeking full-time diesel mechanics. Wages starting at $30.00+/hr. DOE. Housing or housing allowance offered as well as possibility for moving expenses. We are willing to work with your schedule to ensure adequate home time if you are coming from out of state or are just looking for a rotation schedule.,"We prefer that you have experience working on CAT C15, Detroit 60 series, DD15, and Cummins engines but is not necessary. We would prefer if you have your own tools but we are willing to help the right person acquire their tools as needed.",,0,0,0,full time,,Oil,Mechanic,0
17,Regioinal Driver,,,"90,000",,"P&B is seeking talented, hard-working drivers. We provide great benefits and competitive pay!","Class A CDL Two-years driving experience
Clean driving records Drug testing","Paid single health, dental, vision and life plans (family plans are extra) after 60 days 401K matching plan after one year Vacation (one week vacation after one year, then progressing dependent on number of years employed) Fuel bonus Safety bonus Performance bonus",0,0,0,full time,,Transport,Truck Driver,0
18,Canvassing Manager,Denver,,,"Pachner Exteriors, a local, family owned and operated business is searching for money-motivated canvassing manager! Don't miss your opportunity to join a great team! Primary job duties are:","-Manage a team of 2-10 door-to-door canvassers -Gas and/or Vehicle maintenance paid for -Local travel to different parts of Denver and surrounding areas -Set appointments for the sales team Generate additional leads by asking for referrals Cover assigned territory during scheduled shifts Report results to field management on daily results Represent the brand in a professional manner
-Performs other duties as assigned by supervisor",A vehicle and current driver's license is required,,0,1,0,full time,,Decorating,Manager,0
19,Delivery Driver/Warehouse,,,"60,000",,"Immediate opening for a reliable non-CDL delivery driver. This position requires delivery of plumbing materials to jobsites in the morning, basic shipping and receiving duties will comprise your workload for the remainder of the day. There will be overtime, but we operate strictly Monday through Friday. ",Be at least 21 years of age or older Valid CO driver’s license Clean MVR (driving record) Able to lift and move up to 70+ lbs High School diploma or equivalent Ability to work in outdoor weather conditions Punctual with an emphasis on attendance,"We pay 95% of the employee's monthly medical premium in addition to 95% of the employee plus dependents monthly dental premium, 6 Paid Holidays, and provide a matching 401k contribution. There are also opportunities for bonuses.",0,1,0,full time,High School Diploma,Warehouse,Delivery Driver,0
20,Demolition Laborer,Denver,,"41,600-52,000",Engineered Demolition,Start your career in the demolition industry. We are seeking hard working honest individuals that would like to join our demolition family. No experience necessary. Great starting pay! Start immediately. Forget the rest and come work for the best!, Must be able to work any shift Must be safety oriented Must be punctual and reliable MUST HAVE OWN TRANSPORTATION* MUST BE U.S. CITIZEN OR LEGAL RESIDENT*,"Full benefits to include Medical, Dental and Vision Insurance and 401K",0,0,0,full time,,Demolition,Laborer,0
21,Data Analyst,"Englewood, CO",,,CommonSpirit Health was formed by the alignment of Catholic Health Initiatives (CHI) and Dignity Health. With more than 700 care sites across the U.S. from clinics and hospitals to home-based care and virtual care services CommonSpirit is accessible to nearly one out of every four U.S. residents. Our world needs compassion like never before. Our communities need caring and our families need protection. With our combined resources CommonSpirit is committed to building healthy communities advocating for those who are poor and vulnerable and innovating how and where healing can happen both inside our hospitals and out in the community.,"Summary Primarily responsible for analyzing spend and contracting data to find savings opportunities and provide insight to Sourcing, Contracting & Implementation teams on savings initiatives, contracting opportunities and operational initiatives to enhance Supply and Service Resource Management’s strategic sourcing capabilities. Coordinates and manages multiple requests from the Sourcing, Contracting & Implementation team and helps distribute those requests amongst multiple analysts. Provides data and analyses to facilitate discussion with clinical stakeholders and incorporates feedback. Effectively communicates the output to key stakeholders including national and market level leadership. Works with analysts in other functional areas to connect analyses and ensure consistency in measurement, reporting, and interpretation.","A Bachelor’s degree (BA/BS) in related field from four year college or university is required An equivalent combination of education and experience may be considered.
Minimum of 5 years of related experience and data experience preferred or, demonstrated analytical experience required Progressive experience in project management preferred.
Ability with SQL, Python or R, advanced analytic tools and software
Knowledge of Microsoft Word or Google Docs, Outlook or Google Calendar, Excel or Google Sheets, and PowerPoint or Google Slides
Shows a high sense of urgency and ability to lead multiple projects simultaneously
Cultivates relationships with people in other departments and other roles
Knowledge of databases and ability to extract, combine, and organize large data sets
Ability to prepare quick pointed summaries for executives and stakeholders
Proven ability to deal with conflict and difficult people
Healthcare and supply chain experience is an additional benefit
Seasoned business judgment and superior analytical abilities, particularly in strategic business and financial analysis
Capability to translate the technical aspects of quality to what it means for the business, both top and bottom line
Mathematical skills: Ability to work with mathematical concepts related to financial cost analysis.
Reasoning ability: Ability to solve practical problems and interpret instructions furnished in written, oral, or diagram form.
Ability to write reports, business correspondence, and summary materials",,1,1,0,Full Time,Bachelor's degree,Healthcare,Data Analytics,0
22,Veterinarian - Well Pet Clinic,"Longmont, CO",Well Pet Clinic,"$99,840-$120,640","Longmont Humane Society is a 501(c)3 private, non-profit organization dedicated to the welfare of animals with a mission of caring, serving and educating to improve the lives of companion animals.

We provide temporary shelter to thousands of animals every year. Dogs, cats, and small mammals that are lost, surrendered, or abandoned will receive loving attention, nutritious food, meticulous health care and daily exercise during their stay at our facility.

We are a Socially Conscious™ shelter with a strong commitment to best practices in animal welfare. We serve the City of Longmont, the towns of Frederick, Firestone, Lyons, Dacono, and Mead as well as greater Boulder County.

Longmont Humane Society believes that it is our responsibility to safeguard the physical and behavioral well-being of the animals in our care as well as in our community. This commitment to best practices in animal welfare is carried throughout all our programs and services.

At Longmont Humane Society, you can focus on advocating for pets with fewer financial constraints.","The Well Pet Clinic Veterinarian provides fast-paced medical care and surgery services to the patients of the Well Pet Clinic. S/he works closely with the medical team to ensure high quality care for its large volume of patients.

Essential Duties and Responsibilities

· Provides medical and surgical care for publicly owned animals, and shelter animals on occasion

· Provides follow-up on all medical and surgical conditions/complications.

· Provides client communication and support.","· Minimum of 2 years’ experience in a veterinary clinic setting is preferred

· Current, active State of Colorado veterinary license, with no disciplinary actions pending.

Knowledge, Skills, and Abilities:

· Excellent verbal and written communication skills.

· Excellent interpersonal communication.

· Comfortable with pre-pubescent surgery

· Ability to use a PC and widely used software packages, e.g., spreadsheets (Excel), word processing (MS Word), and ability to learn new software as necessary.

· Ability to meet deadlines; ability to set and accomplish work in order of priority; professionally maintain composure and effectiveness under pressure and changing conditions.","Dental insurance
Employee assistance program
Employee discount
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Retirement plan
Vision insurance",0,0,0,Full Time,· Doctor of Veterinary Medicine degree,,Veterinarian,0
23,Join Our Spirit Family,,,,There is no limit to how fast and how far you can grow within Spirir. When you become a Spirit team member you join an airline that invests in Rock Stars like you! You will not only make an immediate impact on the business but will help us continue to build a bench of future leadership. Our Team Members develop their careers rapidly while building key skills that drive long-term success,"We Are Hiring! Take the first step joining our Talent Network by filling the Form Below. By joining our Talent Network, your resume will be searchable in our database by our team of Recruiters. The process will only take 3 minutes. Please upload your resume, driver license both front and back page. If you want to submit a cover letter, include in the same document as your resume. For resume uploads, the following formats work best: JPG, PNG, DOC/DOCX or PDF",,,0,0,0,Part Time,,,,1
24,Airport shuttle driver,"Florida, United States",,,LIVEOPS COMPANY,"Airport shuttle driver is searching for primary duties include picking up passengers, providing on-time shuttle service assisting passengers by answering question, providing directions or attending to their other needs. This includes helping passengers with inquiries about delayed or lost baggage",,,0,0,0,Part Time,,,,1
25,Data Collection Research,University of Michigan,,,,"This is an invitation to participate in an Interdisciplinary research project collecting data remotely and earn $250 weekly. It is an adaptable job that requires little to no prior experience not to mention its flexibility to fit into your regular schedule. Provide the information below to indicate interest and you'll receive a follow up email detailing specific.
Full Name:
Cell #:
Alternate email:
Regards,
John Augustine",,,0,0,1,Part Time,,,,1
26,Content Writer,Lagos,Content Writing,"60,000 - 100,000",CLINTON FUND (CF) Management & Business Development,"Creating, improving and maintaining content to achieve our business goals. Your duties will also include sharing content to raise brand awareness and monitoring web traffic and metrics to identify best practices.","Bachelor's degree in Journalism, English, Communications or related field.",,0,0,0,Full Time,"Bachelor's degree in Journalism, English, Communications or related field.",,,1
